,id,speed,createdAt,status,winner,name,white.user.id,white.rating,white.ratingDiff,white.analysis.accuracy,black.user.id,black.rating,black.ratingDiff,black.analysis.accuracy
0,zSqQzyMK,rapid,1766715521962,stalemate,,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",selemin,1511,1,72.0,sprasannav,1531,0,75.0
1,Wr2yF7iE,blitz,1763315685965,outoftime,black,Modern Defense: Two Knights Variation,gwelain,984,-5,,selemin,1045,30,
2,agWAvzeS,rapid,1763223566652,resign,white,Queen's Pawn Game: Accelerated London System,selemin,1466,45,83.0,protivnik10rus,1449,-5,79.0
3,c9dYgBxR,rapid,1763168145481,draw,,Horwitz Defense,selemin,1470,-4,,azerazad,1446,0,
4,0VwSpP2b,rapid,1762708932724,mate,black,King's Indian Defense: Orthodox Variation,luis1111aa,1471,-6,63.0,selemin,1393,77,70.0
5,9SEofCD0,rapid,1762700368684,mate,black,Zukertort Opening: Black Mustang Defense,alec150,1304,-9,60.0,selemin,1320,73,71.0
6,AAtg8JeN,blitz,1740862606933,resign,white,Queen's Pawn Game: Accelerated London System,selemin,1015,30,,chisto_pusto,1109,-7,
7,jonnwD46,blitz,1740862216869,resign,black,Queen's Gambit Declined: Three Knights Variation,shaked222,1100,-7,,selemin,983,32,
8,mb4qSQfZ,blitz,1740861899822,resign,black,Petrov's Defense: Three Knights Game,selemin,1002,-19,,shaked222,1096,4,
9,CqpMT4Dw,blitz,1720123142616,resign,white,Pirc Defense,shahrzad1390,973,7,,selemin,1016,-14,
10,lOZPUggY,rapid,1712703165360,outoftime,black,King's Pawn Game: Napoleon Attack,sriram_king,1260,-5,,selemin,1263,57,
11,Q2eY8L52,blitz,1711160829048,mate,white,Queen's Pawn Game: Accelerated London System,selemin,1011,5,,vcoll,943,-4,
12,2T9XpODZ,blitz,1711160354124,resign,white,Vienna Game: Vienna Gambit,getitrightsteve,1017,6,,selemin,1017,-6,
13,su6znsLH,blitz,1711150992367,mate,white,Queen's Pawn Game: Accelerated London System,selemin,1010,7,91.0,thedankme,1049,-6,86.0
14,xo0x2gG5,blitz,1711138769177,resign,white,Queen's Pawn Game: Accelerated London System,selemin,1005,5,,eskul,975,-5,
15,ZVUyl5lq,blitz,1711135173827,mate,black,Queen's Pawn Game: Accelerated London System,krzysztofgorzelak,934,-5,,selemin,1001,4,
16,QzqIw0Rn,blitz,1711076185564,mate,black,Queen's Pawn Game,eleop,1136,-8,74.0,selemin,993,8,83.0
