id,lichess_id,format,game_date,result,opening_played,white_username,black_username,player_color,who_won,player_rating_before_match,player_accuracy,opponent_rating_before_match,opponent_accuracy
0,zSqQzyMK,rapid,2025-12-26 02:18:41.962,stalemate,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation",selemin,sprasannav,white,draw,1511.0,72.0,1531.0,75.0
1,Wr2yF7iE,blitz,2025-11-16 17:54:45.965,outoftime,Modern Defense: Two Knights Variation,gwelain,selemin,black,player,1045.0,no_analysis,984.0,no_analysis
2,agWAvzeS,rapid,2025-11-15 16:19:26.652,resign,Queen's Pawn Game: Accelerated London System,selemin,protivnik10rus,white,player,1466.0,83.0,1449.0,79.0
3,c9dYgBxR,rapid,2025-11-15 00:55:45.481,draw,Horwitz Defense,selemin,azerazad,white,draw,1470.0,no_analysis,1446.0,no_analysis
4,0VwSpP2b,rapid,2025-11-09 17:22:12.724,mate,King's Indian Defense: Orthodox Variation,luis1111aa,selemin,black,player,1393.0,70.0,1471.0,63.0
5,9SEofCD0,rapid,2025-11-09 14:59:28.684,mate,Zukertort Opening: Black Mustang Defense,alec150,selemin,black,player,1320.0,71.0,1304.0,60.0
6,AAtg8JeN,blitz,2025-03-01 20:56:46.933,resign,Queen's Pawn Game: Accelerated London System,selemin,chisto_pusto,white,player,1015.0,no_analysis,1109.0,no_analysis
7,jonnwD46,blitz,2025-03-01 20:50:16.869,resign,Queen's Gambit Declined: Three Knights Variation,shaked222,selemin,black,player,983.0,no_analysis,1100.0,no_analysis
8,mb4qSQfZ,blitz,2025-03-01 20:44:59.822,resign,Petrov's Defense: Three Knights Game,selemin,shaked222,white,opponent,1002.0,no_analysis,1096.0,no_analysis
9,CqpMT4Dw,blitz,2024-07-04 19:59:02.616,resign,Pirc Defense,shahrzad1390,selemin,black,opponent,1016.0,no_analysis,973.0,no_analysis
10,lOZPUggY,rapid,2024-04-09 22:52:45.360,outoftime,King's Pawn Game: Napoleon Attack,sriram_king,selemin,black,player,1263.0,no_analysis,1260.0,no_analysis
11,Q2eY8L52,blitz,2024-03-23 02:27:09.048,mate,Queen's Pawn Game: Accelerated London System,selemin,vcoll,white,player,1011.0,no_analysis,943.0,no_analysis
12,2T9XpODZ,blitz,2024-03-23 02:19:14.124,resign,Vienna Game: Vienna Gambit,getitrightsteve,selemin,black,opponent,1017.0,no_analysis,1017.0,no_analysis
13,su6znsLH,blitz,2024-03-22 23:43:12.367,mate,Queen's Pawn Game: Accelerated London System,selemin,thedankme,white,player,1010.0,91.0,1049.0,86.0
14,xo0x2gG5,blitz,2024-03-22 20:19:29.177,resign,Queen's Pawn Game: Accelerated London System,selemin,eskul,white,player,1005.0,no_analysis,975.0,no_analysis
15,ZVUyl5lq,blitz,2024-03-22 19:19:33.827,mate,Queen's Pawn Game: Accelerated London System,krzysztofgorzelak,selemin,black,player,1001.0,no_analysis,934.0,no_analysis
16,QzqIw0Rn,blitz,2024-03-22 02:56:25.564,mate,Queen's Pawn Game,eleop,selemin,black,player,993.0,83.0,1136.0,74.0
17,eJqTIsKz,blitz,2024-03-22 00:19:09.730,mate,Ruy Lopez: Exchange Variation,cataphract331,selemin,black,player,986.0,72.0,1045.0,42.0
18,L2nMLlXU,blitz,2024-03-21 23:46:14.214,resign,Queen's Pawn Game: Accelerated London System,selemin,mut005,white,player,982.0,95.0,886.0,69.0
19,RKQVTGHA,blitz,2024-03-21 23:37:35.738,timeout,Italian Game: Giuoco Piano,kevinc03,selemin,black,player,977.0,86.0,1025.0,73.0
20,1GVhhsaB,blitz,2024-03-21 17:05:26.397,resign,Queen's Pawn Game: Accelerated London System,selemin,tobymcguire,white,opponent,982.0,71.0,1015.0,85.0
21,uIrvemUL,blitz,2024-03-21 16:48:37.031,mate,Scotch Game,henri12349,selemin,black,player,977.0,no_analysis,937.0,no_analysis
22,zQDm96kW,blitz,2024-03-21 03:49:59.362,mate,Queen's Pawn Game: London System,selemin,vermavarun,white,player,969.0,71.0,1067.0,44.0
23,qhozn38g,blitz,2024-03-21 00:17:59.264,resign,Queen's Pawn Game: Accelerated London System,selemin,conman126,white,player,965.0,no_analysis,901.0,no_analysis
24,J5md6Ki5,blitz,2024-03-21 00:08:25.432,mate,Four Knights Game: Spanish Variation,alexandr2828,selemin,black,player,959.0,65.0,967.0,44.0
25,bWjs0WTc,blitz,2024-03-20 19:58:57.515,mate,"London System, with Bd3",selemin,gameoftrones,white,opponent,964.0,no_analysis,1026.0,no_analysis
26,LwBqGwTV,blitz,2024-03-20 00:00:37.944,resign,Three Knights Opening,kroshil,selemin,black,opponent,969.0,no_analysis,1003.0,no_analysis
27,LYEgcIg5,blitz,2024-03-19 18:08:15.950,resign,Four Knights Game: Italian Variation,alisher_tilavov,selemin,black,opponent,975.0,49.0,886.0,74.0
28,uEN5kHGl,blitz,2024-03-19 14:04:24.000,outoftime,Queen's Pawn Game: Accelerated London System,selemin,swys,white,player,969.0,62.0,967.0,70.0
29,iuSkwqNp,blitz,2024-03-19 03:02:19.662,resign,Queen's Pawn Game: Accelerated London System,selemin,whymusticryy,white,player,963.0,92.0,993.0,64.0
30,qLyvweXz,blitz,2024-03-18 22:31:05.271,resign,English Opening: The Whale,hyperfungus,selemin,black,player,958.0,79.0,938.0,71.0
31,ggrxSPfg,blitz,2024-03-18 22:24:01.682,resign,Indian Defense: Accelerated London System,selemin,simsalabimbamba,white,player,951.0,67.0,994.0,53.0
32,Y0uDmCtk,blitz,2024-03-18 16:44:19.333,mate,Queen's Pawn Game: Accelerated London System,selemin,xavini,white,player,946.0,no_analysis,939.0,no_analysis
33,r1XHUScv,blitz,2024-03-18 16:36:15.837,stalemate,Three Knights Opening,mengsunny2,selemin,black,draw,947.0,no_analysis,863.0,no_analysis
34,Aw8uwr47,blitz,2024-03-18 15:41:14.995,timeout,"Italian Game: Two Knights Defense, Knight Attack",selemin,salehahmed333,white,player,942.0,83.0,931.0,76.0
35,3exGQOPV,blitz,2024-03-16 21:43:07.584,resign,Queen's Pawn Game,bigchessmarco,selemin,black,player,938.0,no_analysis,804.0,no_analysis
36,Fq8go2u7,blitz,2024-03-16 16:37:10.135,resign,Queen's Pawn Game: Accelerated London System,selemin,tonyiks,white,player,932.0,89.0,929.0,52.0
