id,rated,variant,speed,perf,createdAt,lastMoveAt,status,source,players,opening,clock,winner
zSqQzyMK,True,standard,rapid,rapid,1766715521962,1766716457471,stalemate,pool,"{'white': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1511, 'ratingDiff': 1, 'provisional': True, 'analysis': {'inaccuracy': 3, 'mistake': 6, 'blunder': 5, 'acpl': 82, 'accuracy': 72}}, 'black': {'user': {'name': 'sprasannav', 'id': 'sprasannav'}, 'rating': 1531, 'ratingDiff': 0, 'analysis': {'inaccuracy': 3, 'mistake': 6, 'blunder': 6, 'acpl': 75, 'accuracy': 75}}}","{'eco': 'C50', 'name': 'Italian Game: Giuoco Pianissimo, Italian Four Knights Variation', 'ply': 9}","{'initial': 600, 'increment': 0, 'totalTime': 600}",
Wr2yF7iE,True,standard,blitz,blitz,1763315685965,1763316147314,outoftime,pool,"{'white': {'user': {'name': 'gwelain', 'id': 'gwelain'}, 'rating': 984, 'ratingDiff': -5}, 'black': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1045, 'ratingDiff': 30, 'provisional': True}}","{'eco': 'B06', 'name': 'Modern Defense: Two Knights Variation', 'ply': 7}","{'initial': 180, 'increment': 2, 'totalTime': 260}",black
agWAvzeS,True,standard,rapid,rapid,1763223566652,1763224422243,resign,pool,"{'white': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1466, 'ratingDiff': 45, 'provisional': True, 'analysis': {'inaccuracy': 7, 'mistake': 2, 'blunder': 4, 'acpl': 51, 'accuracy': 83}}, 'black': {'user': {'name': 'ProtivNIK10rus', 'flair': 'activity.tennis', 'id': 'protivnik10rus'}, 'rating': 1449, 'ratingDiff': -5, 'analysis': {'inaccuracy': 5, 'mistake': 5, 'blunder': 5, 'acpl': 69, 'accuracy': 79}}}","{'eco': 'D00', 'name': ""Queen's Pawn Game: Accelerated London System"", 'ply': 3}","{'initial': 600, 'increment': 0, 'totalTime': 600}",white
c9dYgBxR,True,standard,rapid,rapid,1763168145481,1763169268961,draw,pool,"{'white': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1470, 'ratingDiff': -4, 'provisional': True}, 'black': {'user': {'name': 'AzerAzad', 'id': 'azerazad'}, 'rating': 1446, 'ratingDiff': 0}}","{'eco': 'A40', 'name': 'Horwitz Defense', 'ply': 2}","{'initial': 600, 'increment': 0, 'totalTime': 600}",
0VwSpP2b,True,standard,rapid,rapid,1762708932724,1762709956834,mate,pool,"{'white': {'user': {'name': 'Luis1111aa', 'id': 'luis1111aa'}, 'rating': 1471, 'ratingDiff': -6, 'analysis': {'inaccuracy': 4, 'mistake': 2, 'blunder': 4, 'acpl': 99, 'accuracy': 63}}, 'black': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1393, 'ratingDiff': 77, 'provisional': True, 'analysis': {'inaccuracy': 3, 'mistake': 1, 'blunder': 2, 'acpl': 65, 'accuracy': 70}}}","{'eco': 'E91', 'name': ""King's Indian Defense: Orthodox Variation"", 'ply': 11}","{'initial': 600, 'increment': 0, 'totalTime': 600}",black
9SEofCD0,True,standard,rapid,rapid,1762700368684,1762701080670,mate,pool,"{'white': {'user': {'name': 'alec150', 'flair': 'activity.chess-pawn', 'id': 'alec150'}, 'rating': 1304, 'ratingDiff': -9, 'analysis': {'inaccuracy': 3, 'mistake': 1, 'blunder': 3, 'acpl': 116, 'accuracy': 60}}, 'black': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1320, 'ratingDiff': 73, 'provisional': True, 'analysis': {'inaccuracy': 2, 'mistake': 0, 'blunder': 3, 'acpl': 70, 'accuracy': 71}}}","{'eco': 'A04', 'name': 'Zukertort Opening: Black Mustang Defense', 'ply': 2}","{'initial': 600, 'increment': 0, 'totalTime': 600}",black
AAtg8JeN,True,standard,blitz,blitz,1740862606933,1740862752477,resign,pool,"{'white': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1015, 'ratingDiff': 30}, 'black': {'user': {'name': 'chisto_pusto', 'id': 'chisto_pusto'}, 'rating': 1109, 'ratingDiff': -7}}","{'eco': 'D00', 'name': ""Queen's Pawn Game: Accelerated London System"", 'ply': 3}","{'initial': 180, 'increment': 2, 'totalTime': 260}",white
jonnwD46,True,standard,blitz,blitz,1740862216869,1740862521286,resign,pool,"{'white': {'user': {'name': 'Shaked222', 'id': 'shaked222'}, 'rating': 1100, 'ratingDiff': -7}, 'black': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 983, 'ratingDiff': 32}}","{'eco': 'D37', 'name': ""Queen's Gambit Declined: Three Knights Variation"", 'ply': 7}","{'initial': 180, 'increment': 2, 'totalTime': 260}",black
mb4qSQfZ,True,standard,blitz,blitz,1740861899822,1740862208200,resign,pool,"{'white': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1002, 'ratingDiff': -19}, 'black': {'user': {'name': 'Shaked222', 'id': 'shaked222'}, 'rating': 1096, 'ratingDiff': 4}}","{'eco': 'C42', 'name': ""Petrov's Defense: Three Knights Game"", 'ply': 5}","{'initial': 180, 'increment': 2, 'totalTime': 260}",black
CqpMT4Dw,True,standard,blitz,blitz,1720123142616,1720123629064,resign,pool,"{'white': {'user': {'name': 'shahrzad1390', 'id': 'shahrzad1390'}, 'rating': 973, 'ratingDiff': 7}, 'black': {'user': {'name': 'selemin', 'id': 'selemin'}, 'rating': 1016, 'ratingDiff': -14}}","{'eco': 'B00', 'name': 'Pirc Defense', 'ply': 2}","{'initial': 300, 'increment': 3, 'totalTime': 420}",white
